cell_name	near%	mitotic%	farAvg	repli score	G1S.Score	G2M.Score
GasaE751084	0.46138617171438245	0.424249054031694	0.24654832302555638	0.517756322524871	0.5229077801762587	0.23069142962443548
GasaE751085	0.8344696931505268	0.17408155569989697	0.35072167838326107	0.471940244060133	0.39840763689862263	0.22936139372370914
GasaE751086	0.8059240990928785	0.09487517346447194	0.42570205042696385	0.8673988474051488	0.1981810095160138	0.26359003323666913
GasaE751087	0.8810295404025283	0.07487322357140178	0.3887386108665356	0.7164691482010224	0.3101018857286709	0.5074846107254422
GasaE751088	0.9073392692769517	0.04307692374137803	0.3658237446107736	0.731690966892908	0.3579662599186705	0.6093186391080265
GasaE751089	0.740775296653937	0.17103525819479576	0.3967584701981529	0.6694876767783934	0.3693197010980788	0.34979619466525325
GasaE751090	0.8276139733570189	0.1354802511932437	0.38155051645342386	0.638635570939897	0.25327825882107136	0.28854484950869685
GasaE751092	0.6910829995740941	0.17902909995628036	0.3708317467004203	0.7497443779511321	0.3725492378592202	0.3318690480049305
GasaE751093	0.7889417336577191	0.11629135195720153	0.4212392715904527	0.8420761727149881	0.294399778287236	0.3274200818399543
GasaE751094	0.7696490368845678	0.14375277715042606	0.38329265425371595	0.8455574684323102	0.43485757270896885	0.3917284891351962
GasaE751095	0.9009604337064263	0.05918723314025573	0.4452310415301971	0.6373515585071845	0.24358341764866637	0.5651073824553172
GasaE751096	0.5821800389862157	0.2543595966031755	0.41543340836897313	0.48275880132370835	0.3725315478640674	0.25321614159384065
GasaE751097	0.8638623586049943	0.06998299141252223	0.3238507658978226	0.7172594686312757	0.3766193574990161	0.5508344931423517
GasaE751099	0.7768124664782579	0.1485172254862045	0.36160790488575656	0.7930544015399416	0.33593674906550663	0.3249424860577464
GasaE751100	0.8005457932060475	0.10935383656554687	0.3585522954296423	0.7938167585110001	0.20044136419752276	0.43909494313634057
GasaE751101	0.7388092242380676	0.16139607950562096	0.4690020737281746	0.5831125034664781	0.1938962028676981	0.42439825584167057
GasaE751102	0.855042850294168	0.10737698948728436	0.29471843574492873	0.5222485235382269	0.4427242607295393	0.4806085348346671
GasaE751103	0.8688515086838908	0.12226665941546266	0.3760625675044379	0.5514654795574788	0.32431634852152824	0.34697792913446124
GasaE751104	0.6929524926248897	0.17589772596060127	0.42134514224598596	0.7711016817736364	0.2591820390365405	0.43844842265031453
GasaE751105	0.7163085875726797	0.1613297440384186	0.4400846486199024	0.7044557724582883	0.225044907676311	0.5155788462393941
GasaE751106	0.5189305228050994	0.24996309555572271	0.3012078646230727	0.4400703250312674	0.6534466171941219	0.22313417698753746
GasaE751107	0.6257568206431319	0.2023507303785021	0.3314543430278517	0.447590482583599	0.6739457876852587	0.18544143061999505
GasaE751108	0.7818099508307804	0.1620972831035547	0.3828951118860999	0.5191114797355447	0.3691635315130528	0.35201879101175493
GasaE751109	0.82847004004949	0.11414289366922681	0.27823154981651166	0.6903005509164082	0.45082930015801054	0.40611427110065823
GasaE751110	0.8764682631359464	0.07399355880477207	0.3985559338311455	0.5156429141745741	0.2508208265997989	0.4065307546484435
GasaE751111	0.5510309435769163	0.26490808761026957	0.2675534085303741	0.4687686037644626	0.6988681686143423	0.09953274105596807
